Course,Strand,Math,English,Science,IQ,EQ
Bachelor of Science in Information Technology,ICT,55,35,40,25,25
Bachelor of Science in Computer Science,ICT,55,35,45,25,30
Bachelor of Science in Information Science,ICT,57,38,43,25,25
Bachelor of Science in Engineering,STEM,70,40,45,30,28
Bachelor of Science in Accountancy,ABM,65,40,40,30,30
Bachelor of Science in Multimedia Arts and Science,GAS,45,40,48,32,34
Bachelor of Science in Psychology,HUMSS,45,38,40,30,35
Bachelor of Science in Physical Education,GAS,45,40,40,30,34
Bachelor of Science in Architecture,STEM,70,38,45,30,28
Bachelor of Science in Entrepreneurship,ABM,55,38,40,28,30
Bachelor of Science in Computer Engineering,ICT,60,35,45,30,28
Bachelor of Science in Nursing,STEM,43,35,48,28,35
Bachelor of Science in Education Major in Mathematics,STEM,70,40,40,32,35
Bachelor of Science in Hospitality Management,ABM,60,38,40,28,28
Bachelor of Fine Arts in Digital Cinema,GAS,45,38,45,30,30
Bachelor of Science in Sociology,HUMSS,45,40,45,30,35
Bachelor of Science in Economics,GAS,50,45,45,28,30
Bachelor of Science in Pharmacist,STEM,43,35,45,28,30
