Student,Course,Strand,English/35,Math/35,Science/35,Overall
619,AB-COM,n/a,21,11,17,49
118,AB-COM,n/a,16,15,14,45
34,AB-HIST,n/a,25,15,16,56
269,AB-MASSCOM,n/a,27,17,13,57
421,AB-MASSCOM,n/a,20,18,15,53
67,AB-MASSCOM,n/a,19,17,15,51
441,AB-MASSCOM,n/a,19,15,11,45
76,AB-MASSCOM,n/a,18,11,10,39
522,AB-POLSCI,n/a,33,19,19,71
216,AB-POLSCI,n/a,29,22,16,67
680,AB-POLSCI,n/a,27,20,18,65
612,AB-POLSCI,n/a,24,11,23,58
455,AB-POLSCI,n/a,26,14,17,57
332,AB-POLSCI,n/a,23,15,18,56
354,AB-POLSCI,n/a,30,10,16,56
65,AB-POLSCI,n/a,23,14,16,53
4,AB-POLSCI,n/a,25,15,11,51
115,AB-POLSCI,n/a,20,12,19,51
410,AB-POLSCI,n/a,24,13,13,50
508,AB-POLSCI,n/a,22,14,12,48
95,AB-POLSCI,n/a,27,10,10,47
93,AB-POLSCI,n/a,18,8,16,42
310,AB-POLSCI,n/a,13,15,11,39
94,AB-POLSCI,n/a,19,5,12,36
395,BECE,n/a,23,15,19,57
359,BEED,n/a,24,17,18,59
452,BEED,n/a,20,19,17,56
130,BEED,n/a,20,16,17,53
129,BEED,n/a,15,18,16,49
656,BEED,n/a,22,17,7,46
625,BEED,n/a,16,14,14,44
687,BEED,n/a,15,14,11,40
694,BLIS,n/a,27,16,15,58
679,BPE,n/a,26,22,16,64
560,BPE,n/a,26,22,15,63
583,BPE,n/a,24,17,18,59
562,BPE,n/a,23,20,15,58
402,BPE,n/a,19,18,19,56
521,BPE,n/a,30,13,13,56
285,BPE,n/a,21,16,16,53
398,BPE,n/a,25,14,13,52
172,BPE,n/a,20,13,17,50
669,BPE,n/a,20,19,9,48
23,BPE,n/a,20,13,13,46
235,BPE,n/a,19,16,11,46
456,BPE,n/a,15,13,17,45
478,BPE,n/a,19,14,12,45
109,BPE,n/a,17,14,13,44
448,BPE,n/a,15,17,12,44
260,BPE,n/a,16,16,11,43
460,BPE,n/a,20,9,14,43
474,BPE,n/a,21,10,12,43
626,BPE,n/a,13,15,15,43
302,BPE,n/a,22,7,11,40
303,BPE,n/a,17,11,12,40
382,BPE,n/a,21,4,15,40
7,BPE,n/a,19,11,9,39
288,BPE,n/a,11,14,13,38
458,BPE,n/a,18,14,6,38
639,BPE,n/a,13,13,12,38
297,BPE,n/a,13,15,9,37
270,BPED,n/a,32,18,14,64
268,BPED,n/a,27,19,14,60
131,BPED,n/a,26,15,15,56
265,BPED,n/a,25,19,12,56
267,BPED,n/a,26,18,11,55
248,BPED,n/a,22,18,10,50
128,BPED,n/a,21,10,17,48
132,BPED,n/a,15,17,11,43
47,BPED,n/a,11,8,10,29
264,BSA,n/a,29,29,24,82
226,BSA,n/a,33,19,27,79
655,BSA,n/a,29,25,22,76
564,BSA,n/a,29,27,13,69
174,BSA,n/a,30,19,18,67
59,BSA,n/a,29,15,21,65
163,BSA,n/a,31,17,17,65
550,BSA,n/a,27,21,17,65
60,BSA,n/a,27,18,19,64
263,BSA,n/a,26,15,22,63
447,BSA,n/a,30,17,16,63
90,BSA,n/a,23,22,17,62
165,BSA,n/a,25,19,17,61
181,BSA,n/a,27,20,14,61
18,BSA,n/a,19,21,19,59
536,BSA,n/a,29,19,11,59
537,BSA,n/a,28,16,15,59
651,BSA,n/a,20,22,17,59
159,BSA,n/a,24,17,15,56
406,BSA,n/a,18,19,18,55
438,BSA,n/a,25,16,14,55
549,BSA,n/a,25,18,12,55
