Student,Course,Strand,English/35,Math/35,Science/35,Overall
264,BSA,n/a,29,29,24,82
226,BSA,n/a,33,19,27,79
551,BSMT,n/a,33,22,22,77
655,BSA,n/a,29,25,22,76
227,BSED,n/a,29,20,27,76
557,BSBA-MM,n/a,28,25,21,74
230,BSCRIM,n/a,32,22,20,74
187,BSMT,n/a,32,23,19,74
362,BSCpE,n/a,28,22,23,73
522,AB-POLSCI,n/a,33,19,19,71
564,BSA,n/a,29,27,13,69
364,BSTM,n/a,33,16,19,68
216,AB-POLSCI,n/a,29,22,16,67
174,BSA,n/a,30,19,18,67
100,BSED,n/a,32,16,19,67
579,BSED-MATH,n/a,27,25,15,67
243,BSCpE,n/a,27,17,22,66
397,BSECE,n/a,27,20,19,66
680,AB-POLSCI,n/a,27,20,18,65
59,BSA,n/a,29,15,21,65
163,BSA,n/a,31,17,17,65
550,BSA,n/a,27,21,17,65
384,BSBA-FM,n/a,27,21,17,65
665,BSBA-HRDM,n/a,26,20,19,65
578,BSBA-MM,n/a,27,24,14,65
471,BSCpE,n/a,29,14,22,65
449,BSED,n/a,32,17,16,65
148,BSED-ENGLISH,n/a,33,14,18,65
679,BPE,n/a,26,22,16,64
270,BPED,n/a,32,18,14,64
60,BSA,n/a,27,18,19,64
334,BSCA,n/a,31,15,18,64
560,BPE,n/a,26,22,15,63
263,BSA,n/a,26,15,22,63
447,BSA,n/a,30,17,16,63
647,BSBA-FM,n/a,24,17,22,63
648,BSBA-FM,n/a,28,14,21,63
89,BSED-ENGLISH,n/a,29,15,19,63
519,BSED-MATH,n/a,28,21,14,63
580,BSED-SOCIAL STUDIES,n/a,26,22,15,63
90,BSA,n/a,23,22,17,62
361,BSCRIM,n/a,27,15,20,62
594,BSCRIM,n/a,22,20,20,62
275,BSNED,n/a,27,16,19,62
556,BSPSYCH,n/a,24,24,14,62
165,BSA,n/a,25,19,17,61
181,BSA,n/a,27,20,14,61
199,BSBA,n/a,22,20,19,61
219,BSBA-FM,n/a,26,17,18,61
161,BSCA,n/a,30,16,15,61
35,BSCRIM,n/a,28,19,14,61
257,BSED-ENGLISH,n/a,28,16,17,61
389,BSMT,n/a,25,21,15,61
225,BSPSYCH,n/a,24,21,16,61
370,BSPSYCH,n/a,24,20,17,61
127,BSSW,n/a,29,18,14,61
424,BSTM,n/a,26,11,24,61
